index,thickness,intensity
0,2.2673757,145.269
1,3.2086186,229.09312
2,2.9266238,191.09865
3,2.602468,134.27042
4,2.6118739,124.75302
5,2.7481873,169.86557
6,3.9670238,243.42421
7,2.274238,121.70919
8,2.112816,103.30275
9,3.575687,226.01262
10,2.1956968,105.64374
11,3.3157773,223.2632
12,2.9447083,189.03122
13,3.632892,242.2603
14,3.511247,223.5301
15,3.146798,215.69023
16,2.2441509,127.599014
17,1.9850459,103.87755
18,2.447785,116.930435
19,2.4949822,133.49014
20,1.5686895,90.98499
21,2.9808774,189.59213
22,3.019344,205.9497
23,1.6816409,112.61929
24,2.0056744,122.38548
25,2.306978,162.87416
26,2.5021217,175.02821
27,3.381744,216.67838
28,2.7623684,205.39868
29,2.1588445,161.63425
30,1.4531327,101.3557
31,3.2868595,217.7907
32,1.7369993,133.83975
33,2.1665843,138.93214
34,1.9845929,112.14717
35,2.5477767,122.86253
36,2.8865564,190.21315
37,2.2291188,139.14005
38,3.239295,230.37546
39,2.0487282,133.75041
40,2.6465335,156.61505
41,2.0909898,116.943115
42,2.5802891,142.01439
43,2.6023927,185.4331
44,2.3954034,146.0748
45,3.50733,239.54323
46,2.4135566,138.0409
47,1.2688905,98.93027
48,1.9364803,140.81815
49,2.6095722,189.84763
50,1.9471502,126.02113
51,1.710875,106.79206
52,3.145038,184.65063
53,2.909958,221.41014
54,2.427731,135.36215
55,2.6117015,172.37921
56,2.0775468,157.86493
57,2.1031141,115.31748
58,1.7218287,122.004196
59,2.7981696,210.95705
60,2.862187,194.7292
61,3.0382202,207.40799
62,1.6253458,99.12088
63,2.3943875,130.47131
64,2.0364025,96.311905
65,1.8539282,85.34467
66,2.2991493,179.94786
67,2.5008261,175.13293
68,2.358411,146.60893
69,2.206313,132.08783
70,2.0772445,141.7496
71,3.366714,231.58981
72,2.4531004,157.10654
73,2.9243326,190.89354
74,2.2341926,125.05069
75,2.6363804,183.12085
76,1.5988505,118.33134
77,1.9967797,118.58586
78,1.8076907,99.08919
79,2.3315024,161.56421
80,2.4991834,175.56711
81,3.1358562,232.21307
82,3.0674736,218.18842
83,3.0363507,191.88205
84,2.6981902,177.27032
85,2.2884114,155.52895
86,2.8621264,215.73434
87,2.9721916,184.77246
88,1.704276,114.31651
89,3.8123066,242.98073
90,2.6129804,176.12265
91,2.1094875,166.17642
92,1.6699878,95.552246
93,1.9285647,82.57107
94,1.9792948,99.29985
95,2.4722667,156.77933
96,2.2839365,158.0548
97,2.4767509,149.31363
98,1.8018615,126.89961
99,1.8415756,115.27343
100,2.0769541,125.36293
101,2.7043903,201.22514
102,3.0324602,186.27078
103,2.3139277,150.88191
104,2.6452563,183.8222
105,1.9682902,141.53949
106,2.375388,127.916504
107,2.5387733,144.44678
108,3.7038586,249.25627
109,2.2073188,153.06522
110,2.1279225,115.270645
111,2.4975402,162.62094
112,3.546432,237.91061
113,3.2684703,206.00992
114,2.0161164,104.054306
115,1.7505124,104.23308
116,2.2832613,179.72171
117,3.1394272,212.98482
118,1.5518419,86.31007
119,1.8881845,130.73328
120,2.6360326,177.07053
121,1.9592526,113.85046
122,2.6667447,176.0632
123,2.600924,157.38364
124,2.780024,188.61682
125,2.9626153,201.06393
126,2.6458051,193.47693
127,2.6495178,156.56624
128,1.3498305,77.148186
129,3.0577023,203.8353
130,2.6984544,230.40785
131,2.7537844,219.01633
132,1.8769181,91.41308
133,2.345368,158.77866
134,3.0831773,201.67374
135,3.638596,227.37868
136,1.4238127,83.19237
137,1.9850644,90.57391
138,2.5225751,174.82224
139,2.8191123,212.84056
140,2.8809364,170.05603
141,2.2801802,161.53482
