index,thickness,intensity
0,2.3989508,162.27393
1,2.7890062,171.67532
2,2.6551542,206.75359
3,2.8526106,210.8523
4,1.7508984,119.96817
5,3.1103692,209.586
6,2.44396,135.59232
7,3.003154,159.60297
8,1.9581063,114.869576
9,3.150176,186.475
10,2.5518005,128.55643
11,2.5943823,179.97618
12,1.6577351,74.458435
13,2.759717,187.54712
14,2.656139,141.64392
15,3.2505343,225.61163
16,3.4444008,243.83775
17,3.399624,212.26868
18,2.8394685,180.20166
19,2.3434417,150.98961
20,4.3787704,248.28076
21,2.0462432,127.64783
22,2.3909254,110.52117
23,3.4493535,219.60437
24,3.1936936,220.80634
25,2.895636,195.09787
26,1.982787,99.5992
27,3.4228091,200.28502
28,3.693665,238.30917
29,2.7241142,176.6477
30,2.188006,172.24727
31,2.0317762,139.43051
32,2.5615861,166.7506
33,1.4280438,85.82691
34,2.7692313,141.99608
35,2.604312,168.07199
36,1.8629017,118.61049
37,2.2374282,141.78271
38,4.5340276,246.2666
39,2.4790816,120.35404
40,2.2143054,133.93127
41,2.8259356,181.8381
42,2.4673269,154.0412
43,3.6850042,236.23305
44,1.9160831,100.69588
45,3.0392315,206.47781
46,2.8122768,154.7807
47,1.8319153,118.23837
48,1.7036366,102.270386
49,1.8516643,90.689064
50,2.4696848,185.41162
51,2.9863424,193.22964
52,3.525693,240.19833
53,2.2503552,146.40237
54,2.0236816,127.39115
55,2.7994459,186.96373
56,2.660141,130.73967
57,1.4730365,80.3857
58,2.5459661,190.35535
59,2.959409,182.50641
60,2.3582284,148.47351
61,3.0273583,195.46597
62,2.5322745,128.62823
63,2.1720517,126.51709
64,2.651294,150.43234
65,3.3781943,239.8748
66,2.1772883,133.04324
67,2.342526,146.17355
68,2.5857933,168.0412
69,1.7099087,111.585335
70,2.1250672,139.65411
71,2.0899744,124.326164
72,1.6542137,108.290665
73,4.6588664,251.99399
74,2.6174076,170.85721
75,2.4145675,150.57553
76,2.2506225,135.77115
77,2.2835355,156.09521
78,1.6197476,95.74086
79,3.5487962,232.16583
80,3.1234982,206.30571
81,1.9711336,139.13724
82,3.159716,196.46426
83,2.038443,107.24074
84,3.1217248,226.73926
85,2.884584,193.04025
86,2.3957138,167.52954
87,2.177917,173.35745
88,2.5205426,124.42909
89,1.574332,89.42608
90,2.2040415,144.50684
91,3.5231357,229.38864
92,1.817919,85.97331
93,1.891211,106.56055
94,2.7867532,197.43312
95,2.2460093,153.70947
96,2.6711454,169.3746
97,2.7843804,201.13962
98,2.8116553,210.03613
99,2.3172014,132.86682
100,2.9531946,177.79814
101,2.0174665,96.72226
102,1.9036158,123.50645
103,2.3772779,155.50903
104,2.692295,202.48383
105,3.175895,220.72163
106,2.3256183,144.92947
107,1.9619907,110.67587
108,3.02046,215.44083
109,1.8095294,103.582794
110,1.9180241,109.50825
111,2.5208797,170.41858
112,2.2660086,131.51346
113,2.2011914,102.529434
114,2.6535017,191.98083
115,2.998871,210.61961
116,1.8111544,101.55226
117,2.7102256,193.77794
118,2.742947,212.6628
119,2.429217,145.59589
120,1.8717077,114.046936
121,1.8933492,96.68954
122,2.8097389,173.61322
123,1.8486203,100.129974
124,3.0656507,187.03165
125,2.6003878,179.61151
126,2.3702626,180.05981
127,2.1732838,154.57117
128,2.757894,186.4176
129,2.1055155,103.640114
130,2.7435334,201.05145
131,1.94382,109.75694
132,3.371511,205.89894
133,2.7540705,186.38945
134,2.3158615,175.66815
